Strategy,Games,Time Taken,Computation Time,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,Total Score,Median Score,Total Moves,Median Moves
merge-rnd_t(d=1 t=1),50,0.001,0.004,50,50,50,50,50,33,10,0,0,0,0,0,0,0,170664,3346,13945,283
merge-rnd_t(d=1 t=2),50,0.003,0.01,50,50,50,50,49,26,7,0,0,0,0,0,0,0,152028,2690,12848,236.5
merge-rnd_t(d=1 t=3),50,0.003,0.012,50,50,50,50,47,23,6,0,0,0,0,0,0,0,139800,2502,12109,225
merge-rnd_t(d=1 t=4),50,0.004,0.016,50,50,50,50,49,31,5,0,0,0,0,0,0,0,148368,3102,12620,253
merge-rnd_t(d=1 t=5),50,0.005,0.02,50,50,50,50,47,27,6,0,0,0,0,0,0,0,149288,2758,12723,238.5
merge-rnd_t(d=2 t=1),50,0.008,0.032,50,50,50,50,50,49,34,1,0,0,0,0,0,0,283192,6328,20097,431
merge-rnd_t(d=2 t=2),25,0.015,0.057,25,25,25,25,25,25,20,6,0,0,0,0,0,0,181784,6868,11960,466
merge-rnd_t(d=2 t=3),25,0.034,0.133,25,25,25,25,25,25,20,6,0,0,0,0,0,0,192792,7048,12643,479
merge-rnd_t(d=2 t=4),25,0.056,0.202,25,25,25,25,25,25,21,4,0,0,0,0,0,0,186072,7160,12443,497
merge-rnd_t(d=2 t=5),25,0.083,0.317,25,25,25,25,25,25,22,8,0,0,0,0,0,0,203180,7336,13167,509
merge-rnd_t(d=3 t=1),25,0.023,0.085,25,25,25,25,25,25,25,11,1,0,0,0,0,0,250060,7828,15453,539
merge-rnd_t(d=3 t=2),10,0.062,0.204,10,10,10,10,10,10,9,5,0,0,0,0,0,0,98548,9210,6195,578
merge-rnd_t(d=3 t=3),10,0.238,0.822,10,10,10,10,10,10,10,7,1,0,0,0,0,0,135592,13166,8028,791
merge-rnd_t(d=3 t=4),4,0.275,0.719,4,4,4,4,4,4,4,3,1,0,0,0,0,0,57664,12392,3295,739.5
merge-rnd_t(d=4 t=1),25,0.081,0.307,25,25,25,25,25,25,23,11,0,0,0,0,0,0,252476,7468,15877,518
merge-rnd_t(d=4 t=2),4,0.298,0.799,4,4,4,4,4,4,4,3,1,0,0,0,0,0,63220,14126,3630,837
merge-rnd_t(d=4 t=3),4,1.77,5.114,4,4,4,4,4,4,4,4,2,0,0,0,0,0,90580,20064,4906,1099
